フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
ライオン,なないろとくせい,被ダメージ減少,0.1,味方全体,ギブアップ中ではない味方が3人以上,-,-,-,
白龍,たいきスキル,被ダメージ減少,0.1,自身,-,8ターン,1,1回,
麒麟,なないろとくせい,被ダメージ減少,0.1,味方全体,-,-,-,-,
クロサイ(緑),たいきスキル,被ダメージ減少,0.1,自身,-,3ターン,1,1回,
クロサイ(緑),とくせい,被ダメージ減少,0.1,味方全体,フレンドリー属性の味方,-,-,-,
クロサイ(緑),とくせい,被ダメージ減少,0.2,自身,たいりょくが40%以下,-,-,-,
クロサイ(緑),キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,-,-,-,-,
マイルカ,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ミーアキャット,なないろとくせい,被ダメージ減少,0.2,自身,たいりょくが40%以下,-,-,-,
ライリュウ,キセキとくせい,被ダメージ減少,0.2,自身,びりびり状態の相手,-,-,-,
アムールトラ,なないろとくせい,被ダメージ減少,0.1,自身,たいりょくが30%以下,-,-,-,
アムールトラ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ニホンザル,なないろとくせい,被ダメージ減少,0.1,味方全体,フレンドリー属性の味方,-,-,-,
ヌエ,たいきスキル,被ダメージ減少,0.2,味方全体,-,1ターン,1,1回,
ニルガイ,たいきスキル,被ダメージ減少,0.25,自身,-,1ターン,1,1回,
ニルガイ,とくいわざ,被ダメージ減少,0.07,自身,-,2ターン,-,-,
エゾヒグマ,なないろとくせい,被ダメージ減少,0.08,自身,たいりょくが40%以下,-,-,-,
イエイヌ（シバイヌ）,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
サーベルタイガー,なないろとくせい,被ダメージ減少,0.1,自身,たいりょくが50%以上,-,-,-,
ジュゴン,とくせい,被ダメージ減少,0.1,味方全体,-,-,-,-,
イリエワニ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ホッキョクギツネ,なないろとくせい,被ダメージ減少,0.1,味方全体,自身がひやひや状態~~ラブリー属性の味方,-,-,-,
コアラ,なないろとくせい,被ダメージ減少,0.1,味方全体,マイペース属性の味方,-,-,-,
カルガモ,なないろとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,ファニー属性の味方,-,-,-,
カモノハシ,キセキとくせい,被ダメージ減少,0.1,味方全体,ファニー属性の味方,-,-,-,
ホワイトライオン(青),たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,1,2回,
ホワイトライオン(青),とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
オオフウチョウ,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
シーサーバル・ライト,なないろとくせい,被ダメージ減少,0.1,味方全体,自身がギブアップ状態でない~~アクティブ属性の味方,-,-,-,
G・ロードランナー,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
エランド,とくせい,被ダメージ減少,0.1,味方全体,たいりょくが50%以下,-,-,-,
エランド,キセキとくせい,被ダメージ減少,0.1,味方全体,ファニー属性の味方,-,-,-,
イワハイラックス,たいきスキル,被ダメージ減少,0.15,自身を除く~~味方全体,ラブリー属性の味方,2ターン,1,2回,
ボルネオゾウ,たいきスキル,被ダメージ減少,0.1,自身,-,4ターン,1,2回,
ボルネオゾウ,とくせい,被ダメージ減少,0.15,自身,-,-,-,-,
シャチ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
シナウスイロイルカ,なないろとくせい,被ダメージ減少,0.1,味方全体,フレンドリー属性の味方~~自身がギブアップ状態でない,-,-,-,
スペインオオヤマネコ,キセキとくせい,被ダメージ減少,0.2,自身,-,-,-,-,
バイソン,キセキとくせい,被ダメージ減少,10%×減少しているたいりょく10%,自身,-,-,-,-,
バイソン,たいきスキル,被ダメージ減少,0.05,自身,-,99ターン,1,3回,
スザク,なないろとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,ばてばてヒリヒリ状態の相手,-,-,-,
赤龍,けものミラクル,被ダメージ減少,0.3,味方全体,ラブリー、ファニー属性の味方,3ターン,-,-,必要MP160
バンドウイルカ(水),キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
オイナリサマ,なないろとくせい,被ダメージ減少,0.15,味方全体,ラブリー属性の味方~~自身がギブアップ状態でない,-,-,-,
サバンナシマウマ,なないろとくせい,被ダメージ減少,0.1,味方全体,自身がギブアップ状態でない,-,-,-,
マナティー,とくせい,被ダメージ減少,0.1,自身を除く~~味方全体,-,-,-,-,
セグロジャッカル,キセキとくせい,被ダメージ減少,2%×自身の残っているたいりょく5%,自身,-,-,-,-,
サバンナセンザンコウ,とくせい,被ダメージ減少,0.15,自身,-,-,-,-,
シロサイ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ヒトコブラクダ,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ヒトコブラクダ,なないろとくせい,被ダメージ減少,0.1,味方全体,マイペース属性の味方,-,-,-,
アリゲーター,キセキとくせい,被ダメージ減少,0.1,味方全体,アクティブ属性の味方,-,-,-,
イエウサギ,けものミラクル,被ダメージ減少,0.24,味方全体,ラブリー属性の味方,4ターン,-,-,必要MP110
セイリュウ,なないろとくせい,被ダメージ減少,0.04,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
ブラックバック,なないろとくせい,被ダメージ減少,0.04,味方全体,リラックス、ラブリー~~属性の味方,-,-,-,
ピーチパンサー(黄緑),けものミラクル,被ダメージ減少,0.25,自身,-,4ターン,-,-,必要MP140
シロナガスクジラ,なないろとくせい,被ダメージ減少,0.15,自身を除く~~味方全体,自身がギブアップしたとき,4ターン,-,1回,
シロナガスクジラ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ギロロ,キセキとくせい,被ダメージ減少,0.15,味方全体,-,-,-,-,
日向夏美,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
日向夏美,とくせい,被ダメージ減少,0.15,味方全体,ファニー属性の味方,-,-,-,
日向夏美,けものミラクル,被ダメージ減少,0.25,自身,-,4ターン,-,-,必要MP140
カリフォルニアアシカ,キセキとくせい,被ダメージ減少,0.05,味方前列,-,-,-,-,
カリフォルニアアシカ,キセキとくせい,被ダメージ減少,0.1,味方前列,たいりょくが80%以上,-,-,-,
アラスカラッコ,とくせい,被ダメージ減少,0.15,自身,ひやひや状態の相手,-,-,-,
ビントロング,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ステラーカイギュウ,けものミラクル,被ダメージ減少,0.39,自身,-,3ターン,-,-,必要MP80
エリマキトカゲ,とくせい,被ダメージ減少,0.1,自身,自身がばてばてヒリヒリ状態,-,-,-,
コモドドラゴン(桃),キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
コモドドラゴン(桃),けものミラクル,被ダメージ減少,0.29,味方全体,-,-,-,-,必要MP120
コモドドラゴン(桃),たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,1,3回,
コモドドラゴン(桃),とくせい,被ダメージ減少,0.1,自身,自身がどく状態,-,-,-,
エゾユキウサギ,キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
ワオキツネザル,とくいわざ,被ダメージ減少,0.05,自身,-,1ターン,-,-,
バンテン,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
バンテン,けものミラクル,被ダメージ減少,0.19,自身,-,-,-,-,必要MP100
クロテン,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
クロテン,たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,1,2回,
クロテン,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ニホンアナグマ,キセキとくせい,被ダメージ減少,0.1,味方全体,フレンドリー属性の味方~~たいりょく50%以上,-,-,-,
ニホンアナグマ,とくせい,被ダメージ減少,0.1,自身,たいりょく50%以上,-,-,-,
ニホンアナグマ,たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,0.8,∞,必要MP80
マメジカ,とくせい,被ダメージ減少,0.1,味方全体,マイペース、リラックス~~属性の味方~~自身がギブアップ状態でない,-,-,-,
ヤブツカツクリ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ヤブツカツクリ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ヤブツカツクリ,けものミラクル,被ダメージ減少,0.34,味方全体,-,3ターン,-,-,必要MP100
イイズナ,キセキとくせい,被ダメージ減少,1%×減少している~~たいりょく5%,自身,たいりょくが30%以下,-,-,-,
イイズナ,とくせい,被ダメージ減少,0.1,自身,たいりょくが30%以下,-,-,-,
イイズナ,けものミラクル,被ダメージ減少,0.13,自身,-,3ターン,-,-,
ニホンジカ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
カンザシフウチョウ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ピーチパンサー,なないろとくせい,被ダメージ減少,0.1,味方全体,ファニー属性の味方,-,-,-,
アルパカ・ワカイヤ,なないろとくせい,被ダメージ減少,0.05,自身,-,-,-,-,
ダイトウオオコウモリ,たいきスキル,被ダメージ減少,0.05,味方全体,-,1ターン,0.8,∞,
アイベックス,キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,ラブリー属性の味方,-,-,-,
アイベックス,たいきスキル,被ダメージ減少,0.1,自身,-,3ターン,0.8,1回,
アイベックス,けものミラクル,被ダメージ減少,0.24,自身,-,2ターン,-,-,必要MP100
シンリンオオカミ,けものミラクル,被ダメージ減少,0.13,自身,-,5ターン,-,-,必要MP120
ヒメウォンバット,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ヒメウォンバット,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,0.7,∞,
ヒメウォンバット,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ブラックサーバル,キセキとくせい,被ダメージ減少,0.33,自身,リラックス属性の相手,-,-,-,
オグロヌー,なないろとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ブラックバック,キセキとくせい,被ダメージ減少,0.05,自身,-,-,-,-,
クビワペッカリー,とくせい,被ダメージ減少,0.15,味方全体,ラブリー属性の味方,-,-,-,
クビワペッカリー,けものミラクル,被ダメージ減少,0.28,味方全体,ラブリー属性の味方,3ターン,-,-,必要MP80
ウミウ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ロイヤルペンギン,なないろとくせい,被ダメージ減少,0.1,自身,たいりょくが50%以下,-,-,-,
【大きな瞳の美人顔】サーバル,キセキとくせい,被ダメージ減少,0.2,味方全体,状態異常の相手,-,-,-,
ツチブタ,けものミラクル,被ダメージ減少,0.49,自身,-,2ターン,-,-,必要MP90
ツチブタ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
タスマニアタイガー,とくせい,被ダメージ減少,0.2,自身,ズキンズキンまたは~~くたくた状態の相手,-,-,-,
オオアルマジロ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
オオアルマジロ,なないろとくせい,被ダメージ減少,0.15,自身,かばう発動時,-,-,-,かばう発動率50%
N・ハイランドワイルドドッグ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
シーラカンス,キセキとくせい,被ダメージ減少,0.2,自身,自身がギブアップ~~状態でないとき,-,-,-,
マンドリル,けものミラクル,被ダメージ減少,0.24,自身,-,5ターン,中確率,-,必要MP100
キンイロジャッカル,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
キンイロジャッカル,とくせい,被ダメージ減少,0.2,自身,たいりょくが50%以下,-,-,-,
キンイロジャッカル,けものミラクル,被ダメージ減少,0.34,自身,-,3ターン,-,-,必要MP110
アフリカンゴールデンウルフ,とくせい,被ダメージ減少,0.2,自身,-,-,-,-,
ライオン(水),キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
フクロオオカミ,とくせい,被ダメージ減少,0.1,自身,自身が状態異常でない,-,-,-,
ロイヤルペンギン,とくせい,被ダメージ減少,0.05,味方全体,フレンドリー属性の味方,-,-,-,
カリフォルニアラッコ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
オオセンザンコウ,なないろとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,自身のたいりょくが50%以下,-,-,-,
タヌキ,なないろとくせい,被ダメージ減少,0.05,自身,-,-,-,-,
アフリカオオコノハズク(青),とくせい,被ダメージ減少,0.1,自身を除く~~味方全体,リラックス、マイペース~~属性の味方,-,-,-,
アフリカオオコノハズク(青),キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,リラックス、マイペース~~属性の味方~~状態異常の相手,-,-,-,
サバンナシマウマ,キセキとくせい,被ダメージ減少,0.05,味方全体,自身がギブアップ状態でない,-,-,-,
カピバラ,キセキとくせい,被ダメージ減少,0.15,味方全体,自身のたいりょくが100%~~アクティブ属性の味方,-,-,-,
ヒトコブラクダ,キセキとくせい,被ダメージ減少,0.1,味方全体,ギブアップ中ではない味方が2人以上~~ファニー、マイペース属性の味方,-,-,-,
ヒツジ,キセキとくせい,被ダメージ減少,0.03,味方全体,ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
ホッキョクウサギ,キセキとくせい,被ダメージ減少,0.05,味方全体,地形が寒冷地,-,-,-,
クロサイ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
クロサイ,キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
オグロスナギツネ,たいきスキル,被ダメージ減少,0.05,自身を除く~~味方全体,アクティブ属性の味方,2ターン,1,∞,
エジプトガン,とくせい,被ダメージ減少,0.2,自身,-,-,-,-,
アリサ=サザンクロス,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ケロロ,たいきスキル,被ダメージ減少,0.3,味方全体,-,1ターン,1,1回,
アカギツネ(青),けものミラクル,被ダメージ減少,0.25,味方全体,リラックス属性の味方,3ターン,-,-,必要MP120
アカミミガメ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ドールシープ,とくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ドールシープ,キセキとくせい,被ダメージ減少,0.2,自身,たいりょくが80%以下,-,-,-,
ドールシープ,キセキとくせい,被ダメージ減少,0.25,自身,たいりょくが40%以下,-,-,-,
カマイタチ・治,キセキとくせい,被ダメージ減少,0.1,味方全体,自身がギブアップ状態でない,-,-,-,
マントヒヒ,キセキとくせい,被ダメージ減少,0.1,自身,ギブアップ中ではない味方が5人,-,-,-,
マントヒヒ,とくせい,被ダメージ減少,0.15,自身,かばう発動時,-,-,-,かばうはギブアップ状態ではない味方が5人が条件~~かばう発動率50%
シベリアオオヤマネコ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
リュウキュウイノシシ,とくせい,被ダメージ減少,0.1,味方全体,ファニー属性の味方,-,-,-,
リュウキュウイノシシ,キセキとくせい,被ダメージ減少,0.2,自身,たいりょく20%以下,-,-,-,
シマリス,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
メガネカイマン,たいきスキル,被ダメージ減少,0.45,自身,地形がみずべ,2ターン,1,2回,
コウノトリ,たいきスキル,被ダメージ減少,0.1,自身を除く~~味方全体,ラブリー属性の味方,3ターン,1,2回,
ひぐまモン,キセキとくせい,被ダメージ減少,0.1,自身,ギブアップ中ではない味方が3人以上,-,-,-,
ひぐまモン,とくせい,被ダメージ減少,0.05,自身を除く~~味方全体,マイペース属性の味方,-,-,-,
ひぐまモン,けものミラクル,被ダメージ減少,0.19,味方全体,-,2ターン,-,-,
ちびくまモン,けものミラクル,被ダメージ減少,0.16,味方全体,-,3ターン,-,-,
ちびくまモン,たいきスキル,被ダメージ減少,0.55,自身,-,1ターン,0.55,∞,
ブチハイエナ,とくせい,被ダメージ減少,0.05,自身を除く~~味方全体,地形がサバンナ~~フレンドリー属性の味方,-,-,-,
麒麟,けものミラクル,被ダメージ減少,0.2,味方全体,ラブリー属性の味方,3ターン,-,-,
ゴルゴプスカバ,たいきスキル,被ダメージ減少,0.05,自身,-,2ターン,1,∞,
イリオモテヤマネコ,キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,ラブリー属性の味方,-,-,-,
アマゾンツリーボア,たいきスキル,被ダメージ減少,0.4,自身,-,2ターン,1,2回,
エメラルドツリーボア,キセキとくせい,被ダメージ減少,0.1,味方全体,ファニー属性、アクティブ属性の味方,-,-,-,
ツシマヤマネコ,キセキとくせい,被ダメージ減少,0.06,自身を除く~~味方全体,ステージの時間が夜~~リラックス属性の味方,-,-,-,
ガチャピン,たいきスキル,被ダメージ減少,0.1,自身,-,3ターン,1,2回,
アオツラカツオドリ,とくせい,被ダメージ減少,0.1,味方全体,-,-,-,-,
ヤマタノオロチ,キセキとくせい,被ダメージ減少,0.15,自身,自身がどく、くらくら、~~すやすや状態でないとき,-,-,-,
ホロホロチョウ,たいきスキル,被ダメージ減少,0.1,味方全体,ファニー属性の味方,2ターン,中確率~~たいき発動率100%,2回,
セイウチ,けものミラクル,被ダメージ減少,0.25,味方全体,-,2ターン,-,-,
セイウチ,とくせい,被ダメージ減少,0.4,自身,ひやひや状態の相手,-,-,-,
セイウチ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ヒメアルマジロ,とくせい,被ダメージ減少,0.05,自身,-,-,-,-,
ダンザブロウダヌキ,キセキとくせい,被ダメージ減少,0.1,自身を除く~~味方全体,自身がギブアップ状態でないとき,-,-,-,
ダンザブロウダヌキ,たいきスキル,被ダメージ減少,0.1,味方全体,リラックス属性の味方,2ターン,1,1回,
ラーテル,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
コヨーテ,とくせい,被ダメージ減少,0.05,味方全体,アクティブ属性の味方,-,-,-,
コヨーテ,たいきスキル,被ダメージ減少,0.02,味方全体,アクティブ属性の味方,10ターン,1,1回,
オランウータン,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
オランウータン,キセキとくせい,被ダメージ減少,0.1,味方全体,リラックス属性の味方,-,-,-,
オオサイチョウ,とくせい,被ダメージ減少,0.3,自身,ラブリー属性の相手,-,-,-,
カコミスル,とくせい,被ダメージ減少,0.1,味方全体,ファニー属性の味方~~フレンズ戦~~ギブアップ中ではない味方が4人以上,-,-,-,
シマハイイロギツネ,キセキとくせい,被ダメージ減少,0.05,味方全体,ラブリー属性の味方,-,-,-,
シマハイイロギツネ,けものミラクル,被ダメージ減少,0.2,味方全体,ラブリー属性の味方,2ターン,-,-,
フクロネコ,とくせい,被ダメージ減少,0.2,味方全体,フレンドリー属性の味方~~ちぐはぐリズム状態の相手,-,-,-,
オオカワウソ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
コアラ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
チベットスナギツネ(青),けものミラクル,被ダメージ減少,0.09,味方全体,ギブアップ中でない味方が5人,8ターン,-,-,
マヌルネコ(桃),とくせい,被ダメージ減少,0.1,味方全体,地形が寒冷地,-,-,-,
ブラッザグエノン,とくせい,被ダメージ減少,0.1,味方全体,ギブアップ中ではない味方が5人,-,-,-,
ロバ,けものミラクル,被ダメージ減少,0.7,自身,-,2ターン,-,-,
ロバ,とくいわざ,被ダメージ減少,0.1,自身,-,2ターン,中確率,-,
ロバ,とくせい,被ダメージ減少,0.1,自身,かばう発動時,-,-,-,かばう発動はHP50%以上が条件~~かばう発動率30%
ロバ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ロバ,なないろとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
ロバ,なないろとくせい,被ダメージ減少,0.05,味方全体,-,-,-,-,
テングコウモリ,キセキとくせい,被ダメージ減少,0.1,味方全体,-,-,-,-,
テングコウモリ,たいきスキル,被ダメージ減少,0.1,自身を除く~~味方全体,ラブリー属性の味方,2ターン,1,1回,
クズリ,キセキとくせい,被ダメージ減少,0.1,自身,たいりょくが60%以上,-,-,-,
トド,キセキとくせい,被ダメージ減少,0.15,味方全体,地形が寒冷地~~マイペース属性の味方,-,-,-,
フォークランドカラカラ,とくせい,被ダメージ減少,0.08,自身,自身のたいりょくが50%以下,-,-,-,
パラケラテリウム,キセキとくせい,被ダメージ減少,0.05,味方全体,自身のたいりょくが80%以上,-,-,-,
パラケラテリウム,とくせい,被ダメージ減少,0.1,味方全体,-,-,-,-,
パラケラテリウム,けものミラクル,被ダメージ減少,0.22,味方全体,-,3ターン,-,-,
ノドグロミツオシエ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
バーバリライオン,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,1,2回,
バーバリライオン,とくせい,被ダメージ減少,0.2,自身,たいりょく50%以下,-,-,-,
バーバリライオン,キセキとくせい,被ダメージ減少,0.15,自身,強敵出現wave,-,-,-,
イリエワニ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
オオタカ(赤),たいきスキル,被ダメージ減少,0.05,味方全体,-,2ターン,0.8,3回,
オオタカ(赤),たいきスキル,被ダメージ減少,0.1,最もたいりょく割合の低い味方単体,-,2ターン,0.8,3回,
オオタカ(赤),キセキとくせい,被ダメージ減少,0.08,味方全体,たいりょく40%以下,-,-,-,
ジョフロイネコ,キセキとくせい,被ダメージ減少,0.1,味方全体,たいりょく80%以上,-,-,-,
マーモット,たいきスキル,被ダメージ減少,0.15,味方前列,-,2ターン,1,2回,
マーモット,とくせい,被ダメージ減少,0.1,味方全体,地形がやま,-,-,-,
カグヤコウモリ,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,0.8,3回,
ヤタガラス,けものミラクル,被ダメージ減少,0.09,自身,-,5ターン,1,-,
ヤタガラス,とくせい,被ダメージ減少,0.09,味方全体,ファニー属性の味方,-,-,-,
ゲンブ,けものミラクル,被ダメージ減少,0.8,自身,-,1ターン,-,-,
ゲンブ,けものミラクル,被ダメージ減少,0.9,自身,かばう発動時,1ターン,-,-,
ゲンブ,とくせい,被ダメージ減少,0.1,味方全体,たいりょく100%~~ラブリー属性の味方,-,-,-,
ゲンブ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
ゴリラ,とくせい,被ダメージ減少,0.1,味方全体,フレンズ戦,-,-,-,
ゴリラ,キセキとくせい,被ダメージ減少,0.1,味方全体,フレンドリー属性~~強敵出現WAVE,-,-,-,
ヒョウ,キセキとくせい,被ダメージ減少,0.1,味方全体,ステージの時間が夜,-,-,-,
メキシコサラマンダー,たいきスキル,被ダメージ減少,0.03,味方全体,-,4ターン,1,∞,
ケープペンギン,たいきスキル,被ダメージ減少,0.7,味方全体,-,1ターン,0.8,2回,
ビャッコ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
カルガモ,けものミラクル,被ダメージ減少,0.7,自身,-,2ターン,-,-,
カルガモ,たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,0.6,∞,
カルガモ,とくせい,被ダメージ減少,0.1,自身,かばう発動時,-,-,-,
セーバル,たいきスキル,被ダメージ減少,0.3,自身,セルリアン戦,2ターン,1,2回,
セーバル,とくせい,被ダメージ減少,0.13,自身,セルリアン戦,-,-,-,
ドール(黄緑),とくせい,被ダメージ減少,0.3,自身,たいりょく50%以下,-,-,-,
ミーアキャット(桃),とくせい,被ダメージ減少,0.08,味方全体,-,-,-,-,
火の鳥,たいきスキル,被ダメージ減少,0.8,味方単体,最もたいりょく割合の低い味方,1ターン,1,2回,
ユニコ,とくせい,被ダメージ減少,0.1,味方全体,地形が寒冷地,-,-,-,
ブラックジャガー(桃),たいきスキル,被ダメージ減少,0.13,自身,-,3ターン,1,2回,
タテゴトアザラシ,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
アデリーペンギン,とくせい,被ダメージ減少,0.2,自身,自身が状態異常,-,-,-,
オーロックス,キセキとくせい,被ダメージ減少,0.15,自身,相手が強敵,-,-,-,
ホルスタイン,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
キティサーバル,とくせい,被ダメージ減少,0.05,味方全体,ファニー属性の味方,-,-,-,
ギンギツネ(水),たいきスキル,被ダメージ減少,0.05,自身,-,3ターン,1,3回,
ツチノコ(赤),キセキとくせい,被ダメージ減少,0.06,味方全体,ファニー属性の味方,-,-,-,
インドゾウ,たいきスキル,被ダメージ減少,0.1,自身,-,1ターン,1,2回,
インドゾウ,キセキとくせい,被ダメージ減少,0.2,自身,-,-,-,-,
スナネコ(赤),とくせい,被ダメージ減少,0.15,自身,地形がさばく,-,-,-,
トムソンガゼル,とくせい,被ダメージ減少,0.2,自身,地形がサバンナ,-,-,-,
シーサー・ライト,たいきスキル,被ダメージ減少,0.4,自身,-,1ターン,1,1回,
シーサー・ライト,キセキとくせい,被ダメージ減少,0.06,味方全体,マイペース属性の味方,-,-,-,
アライグマ(黄緑),とくせい,被ダメージ減少,0.07,味方全体,-,-,-,-,
ジャイアントパンダ,たいきスキル,被ダメージ減少,0.15,自身を除く~~味方全体,-,2ターン,1,2回,
ジャイアントパンダ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
シャチ,たいきスキル,被ダメージ減少,0.1,自身,-,3ターン,0.75,2回,
シャチ,とくせい,被ダメージ減少,0.15,自身,地形がみずべ,-,-,-,
コディアックヒグマ,けものミラクル,被ダメージ減少,0.5,自身,-,1ターン,-,-,
バンドウイルカ,とくせい,被ダメージ減少,0.15,自身,地形がみずべ,-,-,-,
マヌルネコ,たいきスキル,被ダメージ減少,0.1,自身,-,3ターン,1,1回,
マヌルネコ,とくせい,被ダメージ減少,0.2,自身,-,-,-,-,
アカミミガメ,けものミラクル,被ダメージ減少,0.25,味方全体,-,3ターン,-,-,
アカミミガメ,けものミラクル,被ダメージ減少,0.45,味方全体,マイペース属性の味方,1ターン,-,-,
アカミミガメ,たいきスキル,被ダメージ減少,0.2,自身,かばう発動時,1ターン,1,1回,
エゾヒグマ,たいきスキル,被ダメージ減少,0.1,自身,相手が強敵,2ターン,1,∞,
エゾヒグマ,とくせい,被ダメージ減少,0.1,自身,かばう発動時,-,-,-,
エゾヒグマ,キセキとくせい,被ダメージ減少,0.15,自身,相手が強敵,-,-,-,
サラブレッドあおかげ,たいきスキル,被ダメージ減少,0.18,自身,-,2ターン,1,2回,
ミナミコアリクイ(水),とくせい,被ダメージ減少,0.1,自身,たいりょく50%以下,-,-,-,
ホッキョクウサギ,けものミラクル,被ダメージ減少,0.2,味方全体,-,3ターン,-,-,
ホッキョクウサギ,とくせい,被ダメージ減少,0.15,自身,地形が寒冷地,-,-,-,
プロングホーン,キセキとくせい,被ダメージ減少,0.1,味方全体,アクティブ属性の味方,-,-,-,
オオアリクイ,たいきスキル,被ダメージ減少,0.06,自身,-,2ターン,1,∞,
シナウスイロイルカ,たいきスキル,被ダメージ減少,0.5,味方単体,最もたいりょく割合の低い味方,2ターン,0.6,2回,
シナウスイロイルカ,とくせい,被ダメージ減少,0.03,味方全体,-,-,-,-,
アミメキリン,とくせい,被ダメージ減少,0.2,自身,地形がサバンナ,-,-,-,
オイナリサマ,とくせい,被ダメージ減少,0.08,味方全体,ラブリー属性の味方,-,-,-,
フタコブラクダ,とくせい,被ダメージ減少,0.04,味方全体,-,-,-,-,
シーサーバル・レフティ,とくせい,被ダメージ減少,0.3,自身,たいりょく30%以下,-,-,-,
カバ,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,1,2回,
ヒトコブラクダ,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,0.7,4回,
ヒトコブラクダ,とくせい,被ダメージ減少,0.2,自身,地形がさばく,-,-,-,
ホワイトライオン,とくせい,被ダメージ減少,0.5,自身,自身がひやひや状態,-,-,-,
アフリカオオコノハズク,けものミラクル,被ダメージ減少,0.25,味方全体,-,3ターン,-,-,
