レア度,フォト名,属性,入手,実装日,ページURL,イラストレーター名,変化前アイコンURL,変化後アイコンURL,とくせい(変化前),とくせい(変化後),Lv.1たいりょく,Lv.1こうげき,Lv.1まもり,変化前たいりょく,変化前こうげき,変化前まもり,変化後たいりょく,変化後こうげき,変化後まもり,,EOH
3,パッカーン！ チャレンジ,足跡,限定~~イベ報酬,2020/08/28,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/tf9elb4L55.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Jpzm5E0ON9.png,かいひが2%増加する,かいひが&color(red){4%}増加する,192,210,226,444,486,524,574,628,677,,
4,わんだふる！,青,限定,2020/08/28,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/64MqBRJgvO.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/yG780zmkcB.png,たいりょくが50%以上のとき~~リラックス（青）属性の相手に対して~~与ダメージが12%増加する,たいりょくが&color(red){30%以上}のとき~~リラックス（青）属性の相手に対して~~与ダメージが&color(red){15%}増加する,129,452,131,310,1092,315,385,1354,391,,
4,オフショット,青,限定,2020/09/03,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Skn8tWDunN.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KMpea9Dp8U.png,たいりょくが50%以上のとき与ダメージが7%増加し~~たいりょくが50%以下のときかいひが6%増加する,たいりょくが50%以上のとき与ダメージが&color(red){8%}増加し~~たいりょくが50%以下のときかいひが&color(red){8%}増加する,134,538,6,323,1302,14,401,1614,18,,
4,ヤバヤバやたいフード,青,限定,2020/09/12,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/zn2Eash2lU.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/roer5DcJS1.png,相手フレンズ出現waveの場合、与ダメージが8%増加し~~被ダメージが3%減少する,相手フレンズ出現waveの場合、与ダメージが&color(red){11%}増加し~~被ダメージが&color(red){5%}減少する,590,105,360,1427,253,869,1769,314,1078,,
3,輝きの欠片フォト☆３,,その他,2020/09/17,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/L0BbylVNNV.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/L0BbylVNNV.png,なし(限界突破用素材),なし(限界突破用素材),0,0,0,0,0,0,0,0,0,,
4,輝きの欠片フォト☆４,,その他,2020/09/17,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/d0sr4XGnn4.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/d0sr4XGnn4.png,なし(限界突破用素材),なし(限界突破用素材),0,0,0,0,0,0,0,0,0,,
4,Welcome to ようこそ！,青,限定,2020/09/23,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/2bCUijKvAJ.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Qqdc3ukD0d.png,自身がギブアップしたとき~~味方全体のMPが20増加する（発動回数：1回）,自身がギブアップしたとき~~味方全体の&color(red){たいりょくが10%回復し}~~MPが20増加する（発動回数：1回）,411,253,252,994,611,609,1232,758,755,,
4,こっちにおいで,足跡,限定,2020/09/30,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/VXnbLh5kPP.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UUCQyAvRjZ.png,アクティブ(黄緑)属性の相手に対して~~与ダメージが7%増加し、被ダメージが4%減少する,アクティブ(黄緑)属性の相手に対して~~与ダメージが&color(red){9%}増加し、被ダメージが&color(red){6%}減少する,164,279,352,396,675,851,492,837,1055,,
3,収穫の秋！,青,限定~~イベ報酬,2020/09/30,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/W_Byj4NcKf.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/4sVMfPGlUB.png,たいりょくが60%以下のとき被ダメージが2%減少し~~MPが8増加する（発動回数：1回）,たいりょくが60%以下のとき被ダメージが&color(red){4%}減少し~~MPが&color(red){10}増加する（発動回数：1回）,316,93,320,733,215,743,947,278,960,,
3,Trick or Treat!,青,限定~~イベ報酬,2020/10/22,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_RHA13DatV.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/TvwmFQ6NNk.png,たいりょくが50%以下のとき~~たいりょくが8%回復し、MPが3増加する~~（発動回数：1回）,たいりょくが50%以下のとき~~たいりょくが&color(red){10%}回復し、MPが&color(red){4}増加する~~（発動回数：1回）,505,161,121,1171,372,279,1514,481,361,,
4,すべては一瞬に,足跡,限定,2020/10/22,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/dLNEmThVtb.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZCkvwMaUsY.png,リラックス(青)属性の相手に対して~~与ダメージが7%増加し、被ダメージが4%減少する,リラックス(青)属性の相手に対して~~与ダメージが&color(red){9%}増加し、被ダメージが&color(red){6%}減少する,36,378,286,86,913,690,107,1132,856,,
4,お手のモノっ！,青,限定,2020/11/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/WcJT3ROe6L.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/43kqeGbiLk.png,強敵出現waveの場合、与ダメージが7%増加し、~~被ダメージが3%減少する,強敵出現waveの場合、与ダメージが&color(red){9%}増加し、~~被ダメージが&color(red){5%}減少する,474,324,117,1146,784,282,1421,972,350,,
3,Dear my friends,足跡,配布,2020/11/06,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0TVsifZ4T1.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/eaOqmJjHW_.png,毎ターンたいりょくが1%回復し、MPが1増加する,毎ターンたいりょくが&color(red){2%}回復し、MPが&color(red){2}増加する,67,264,96,154,611,220,199,790,285,,
4,紅葉狩,足跡,限定,2020/11/20,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/weiVcb5aRF.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZN7V43FOdL.png,味方全体の与ダメージが3%増加する,味方全体の与ダメージが3%増加する~~&color(red){さらにバトル開始時に自身のMPが8増加する},253,338,221,612,816,534,759,1012,662,,
3,じーっと観察中,足跡,限定~~イベ報酬,2020/11/27,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/MQevvrAMYF.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/FLHaVSUOxx.png,攻撃命中率が3%増加し~~かいひが2%増加する,攻撃命中率が&color(red){5%}増加し~~かいひが&color(red){4%}増加する,211,157,290,488,363,672,631,469,868,,
4,秘境の花園,足跡,限定,2020/11/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/5fHGdaSz5L.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/X4diYEIWwr.png,フレンドリー(緑)属性の相手に対して与ダメージが9%増加する~~地形がやまの場合、毎ターンたいりょくが2%回復する,フレンドリー(緑)属性の相手に対して与ダメージが&color(red){12%}増加する~~地形がやまの場合、毎ターンたいりょくが&color(red){4%}回復する,446,142,387,1078,343,936,1337,426,1161,,
4,おっお宝だーっ！,足跡,限定,2020/12/03,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/cfgTK34pt7.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/wNhD4yOiga.png,与ダメージが5%増加し~~被ダメージが4%減少し~~かいひが2%増加する,与ダメージが&color(red){7%}増加し~~被ダメージが&color(red){5%}減少し~~かいひが&color(red){3%}増加する,117,338,296,283,818,714,351,1014,886,,
4,聖なる夜のおくりもの,青,限定,2020/12/10,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/BFVDCyH8pg.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/lLUYyt9Ktf.png,&color(#0075c8){たいりょくが40%以上のとき}相手全体の全体攻撃に対する被ダメージを2%増加し~~自身の与ダメージが5%増加する,相手全体の全体攻撃に対する被ダメージを2%増加し~~自身の与ダメージが5%増加する,409,205,321,988,494,776,1225,613,962,,
3,せーので うー、がおー！,青,限定,2020/12/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/mCFYLN2yfd.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/B6iZEcnN3Y.png,たいりょくが60%以上のとき~~与ダメージが3%増加し、少しだけ狙われにくくなる,たいりょくが60%以上のとき~~与ダメージが&color(red){5%}増加し、少しだけ狙われにくくなる,238,291,87,551,674,202,712,871,261,,
4,だいすきなぬいぐるみ,青,限定,2020/12/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/KSXBOeoJGo.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/3N8vDQavAZ.png,セルリアン戦で与ダメージが7%増加し~~毎ターンMPが2増加する,セルリアン戦で与ダメージが&color(red){9%}増加し~~毎ターンMPが&color(red){3}増加する,298,254,313,721,614,756,894,762,937,,
4,できたてをどうぞ！,足跡,限定,2021/01/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/n3OhQnURV6.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/sY5ELsh95Z.png,ひやひや耐性（中）が増加し~~与ダメージが7%増加する,ひやひや耐性（中）が増加し~~与ダメージが&color(red){9%}増加する,551,181,275,1332,437,664,1651,542,824,,
3,新春羽根突き対決！,足跡,限定~~イベ報酬,2021/01/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/zr9Z_LCk5z.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZKR7MFHG0s.png,「Beat!!!」の与ダメージが7%増加する,「Beat!!!」の与ダメージが&color(red){9%}増加する,178,146,323,413,338,748,534,437,967,,
4,こころほかほか,青,限定,2021/01/09,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/WD6UFTZGB4.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/pJBTb6DnoL.png,相手フレンズ出現waveの場合、攻撃命中率とかいひが6%増加し~~毎ターンたいりょくが2%回復する,相手フレンズ出現waveの場合、攻撃命中率とかいひが&color(red){10%}増加し~~毎ターンたいりょくが2%回復する,463,191,311,1119,460,751,1387,571,931,,
4,ちょっとはいしゃく！,青,限定,2021/01/22,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ZGkEmMMva_.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Q3bFQRbPm9.png,たいりょくが50%以上のとき~~ラブリー(桃)属性の相手に対して~~与ダメージが12%増加する,たいりょくが&color(red){30%以上}のとき~~ラブリー(桃)属性の相手に対して~~与ダメージが&color(red){15%}増加する,245,231,375,592,558,906,734,692,1124,,
3,オシャレ度アップ,足跡,限定~~イベ報酬,2021/01/29,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/5iGn3I_1Np.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/O57Cb5hhAr.png,味方全体の攻撃命中率が2%増加する,味方全体の攻撃命中率が&color(red){4%}増加する,261,193,211,606,447,488,783,578,631,,
4,りらくぜーしょん,足跡,限定,2021/01/29,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/5zXqydV7Gi.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/TCxC0dFLKg.png,くたくた耐性（中）が増加し~~被ダメージが4%減少する,くたくた耐性&color(red){（高）}が増加し~~被ダメージが&color(red){6%}減少する,319,265,286,772,641,690,957,795,856,,
4,ゆきやまコンサート,足跡,限定,2021/02/05,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/x_If3Wfmjr.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/irqDr7VwtB.png,ラブリー(桃)属性の相手に対して与ダメージが9%増加する~~地形が寒冷地の場合、毎ターンたいりょくが2%回復する,ラブリー(桃)属性の相手に対して与ダメージが&color(red){12%}増加する~~地形が寒冷地の場合、毎ターンたいりょくが&color(red){4%}回復する,427,174,354,1032,420,856,1279,521,1061,,
4,ときいろに染まる空,青,限定,2021/02/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_3xAT0aCOf.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ol8b1gv6Sr.png,相手フレンズ出現waveの場合、与ダメージが10%増加し~~バトル開始時にMPが5増加する,相手フレンズ出現waveの場合、与ダメージが&color(red){15%}増加し~~バトル開始時にMPが&color(red){10}増加する,404,224,296,977,542,714,1212,672,886,,
4,ごくさいしき,青,限定,2021/02/26,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/VmZiZm3u8B.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/gZ2OZ52CX0.png,たいりょくが60%以上のとき~~与ダメージが10%増加し、かいひが4%増加する,たいりょくが&color(red){50%}以上のとき~~与ダメージが&color(red){12%}増加し、かいひが&color(red){6%}増加する,311,237,329,752,573,796,932,711,987,,
3,一閃,青,限定,2021/02/26,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/jAlQRU6prb.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/f7Lt69Upw8.png,セルリアン戦で与ダメージが5%増加する,セルリアン戦で与ダメージが&color(red){7%}増加する,81,231,257,187,536,596,242,693,771,,
3,とっておきの一杯,足跡,限定~~イベ報酬,2021/03/12,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/y3W7EhtuoN.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/LoTmxpxQyC.png,くたくた耐性（低）が増加し、被ダメージが3%減少する,くたくた耐性&color(red){（中）}が増加し、被ダメージが&color(red){5%}減少する,118,183,304,272,424,705,352,549,911,,
4,ぬへー,青,限定,2021/03/12,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/rGHE0dHUj1.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/EUsLCJDT7Y.png,たいりょくが70%以下のときたいりょくが15%回復し~~たいりょくが30%以下のときMPが10増加する(発動回数：1回ずつ),たいりょくが70%以下のときたいりょくが&color(red){20%}回復し~~たいりょくが30%以下のときMPが&color(red){15}増加する(発動回数：1回ずつ),266,307,257,642,743,620,796,921,769,,
3,ジャパリパーク着任の日,足跡,配布,2021/03/19,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/f0slMqkPRY.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/XsydSDZi5X.png,バトル開始時にMPが5増加する,バトル開始時にMPが&color(red){7}増加する,274,137,158,635,316,365,821,409,472,,
4,ぼいすとれーにんぐ,足跡,限定,2021/03/25,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/lVWlCbBKbV.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/JrFr9TlxZD.png,毎wave開始時に与ダメージが2%増加し~~攻撃命中率が3%増加する（発動回数：3回),毎wave開始時に与ダメージが&color(red){3%}増加し~~攻撃命中率が&color(red){4%}増加する（発動回数：3回),368,281,237,889,679,572,1102,842,709,,
3,おはなみびより,青,限定~~イベ報酬,2021/03/31,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/82fu5bflU5.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/nJgqQq7gkn.png,たいりょくが50%以下のとき~~攻撃命中率が4%増加し、少しだけ狙われにくくなる,たいりょくが50%以下のとき~~攻撃命中率が&color(red){6%}増加し、少しだけ狙われにくくなる,248,140,292,575,324,678,743,419,876,,
4,孤高なる修行,足跡,限定,2021/03/31,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/JEpAujfsaB.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/TntGz28Ayg.png,与ダメージが5%増加する~~さらに味方がギブアップするたび与ダメージが2%増加する~~(発動回数：4回),与ダメージが&color(red){7%}増加する~~さらに味方がギブアップするたび与ダメージが2%増加する~~(発動回数：4回),401,231,289,969,557,698,1202,691,865,,
4,チイさなセンセイ,足跡,限定,2021/04/07,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/FadV0kp0h6.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/YZpTRhYYZG.png,被ダメージが5%減少する~~さらに状態異常にかかっている相手から~~受けるダメージを6%減少する,被ダメージが&color(red){7%}減少する~~さらに状態異常にかかっている相手から~~受けるダメージを&color(red){8%}減少する,175,298,320,422,721,773,523,894,958,,
3,おんせんごっこ,足跡,限定~~イベ報酬,2021/04/28,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/VrHVga7uHT.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Vwv0e575ix.png,毎ターン味方全体のたいりょくが1%回復する~~地形がみずべの場合、~~さらにたいりょくが1%回復する,毎ターン味方全体のたいりょくが1%回復する~~地形がみずべの場合、~~さらにたいりょくが&color(red){3%}回復する,364,133,236,845,307,547,1092,397,707,,
4,応援レッスン！,青,限定,2021/04/28,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/H9Rl1giS_q.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/xoJ6mxdrqG.png,たいりょくが50%以上のとき~~リラックス（青）属性の相手に対して~~与ダメージと攻撃命中率が8%増加する,たいりょくが&color(red){30%}以上のとき~~リラックス（青）属性の相手に対して~~与ダメージと攻撃命中率が&color(red){10%}増加する,410,265,235,992,641,568,1230,795,704,,
4,カラフルへんげ,青,限定,2021/05/02,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/tan6wkyfp7.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Kmpk8QLfQG.png,たいりょくが60%以上のとき攻撃命中率が12%増加し~~かいひが4%増加する,たいりょくが60%以上のとき攻撃命中率が&color(red){15%}増加し~~かいひが&color(red){5%}増加する,404,199,332,977,480,802,1212,595,994,,
3,ジャパリミュージアム,足跡,配布,2021/05/14,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/jLcQz7cpQV.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/9lOgaPXZvq.png,少しだけ狙われにくくなる,少しだけ狙われにくくなり~~&color(red){毎ターンたいりょくが3%回復する},289,120,167,670,278,386,866,360,499,,
4,全力スプリント！,足跡,限定,2021/05/19,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/niyXrbEkEK.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/OZAccW39sm.png,与ダメージが5%増加し、~~たいりょくが50%以下のとき~~追加で「Action!」の与ダメージが10%増加する,与ダメージが&color(red){7%}増加し、~~たいりょくが50%以下のとき~~追加で「Action!」の与ダメージが&color(red){12%}増加する,454,298,155,1098,721,374,1362,894,464,,
4,あまおとのしらべ,足跡,限定,2021/05/26,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_cFNMAWNru.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/54FMXq5Cl5.png,被ダメージが5%減少し、毎ターンたいりょくが5%回復する,被ダメージが&color(red){7%}減少し、毎ターンたいりょくが&color(red){7%}回復する,701,151,244,1695,365,589,2102,453,731,,
3,おれたちは！,青,限定~~イベ報酬,2021/05/26,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/tywiRkL1iJ.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/K119o0pwCC.png,たいりょくが40%以下のとき~~与ダメージが5%増加し、被ダメージが5%減少する,たいりょくが&color(red){50%}以下のとき~~与ダメージが&color(red){7%}増加し、被ダメージが&color(red){7%}減少する,292,197,182,677,456,421,875,589,544,,
4,JHR・パン食い競争の部,青,限定,2021/06/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/lY9AyfAkkA.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/j6Xl5d7DTx.png,&color(#0075c8){たいりょくが80%以上のとき}~~「Beat!!!」の与ダメージが7%増加し~~被ダメージが7%減少する,「Beat!!!」の与ダメージが7%増加し~~被ダメージが7%減少する,347,302,208,838,730,503,1039,905,624,,
4,スイートタイム,青,限定,2021/06/09,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Ut_Ub4MOGK.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Xz_rKEKfAl.png,たいりょくが50%以下のとき~~たいりょくが12%回復し、MPが7増加する~~（発動回数：1回）,たいりょくが50%以下のとき~~たいりょくが&color(red){15%}回復し、MPが&color(red){10}増加する~~（発動回数：1回）,735,172,193,1778,415,465,2205,515,577,,
3,やみよのおとずれ,青,限定~~イベ報酬,2021/06/17,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/4eMqhllxXD.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/2zT4wkqgUW.png,たいりょくが60%以下のとき与ダメージが5%増加する~~ステージの時間が夜の場合、さらに与ダメージが5%増加する,たいりょくが&color(red){80%}以下のとき与ダメージが5%増加する~~ステージの時間が夜の場合、さらに与ダメージが5%増加する,419,185,131,971,428,302,1225,553,391,,
4,完成ですわ！,足跡,限定~~イベ報酬,2021/06/17,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/VD5l9sUOL3.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/70fdGqwlvA.png,どく耐性（中）が増加し、~~与ダメージが7%増加する,どく耐性&color(red){（高）}が増加し~~与ダメージが&color(red){9%}増加する,407,308,174,985,744,419,1221,922,520,,
3,いたずらバブルリング,青,限定~~イベ報酬,2021/06/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/2eJo_XW_DU.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/mZOwOXn47s.png,たいりょくが60%以上のとき~~与ダメージと攻撃命中率が5%増加する,たいりょくが&color(red){40%}以上のとき~~与ダメージと攻撃命中率が5%増加する,404,206,107,938,477,248,1212,616,321,,
4,月光のきらめき,足跡,限定,2021/06/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ql6pls4SHC.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/TjBZodyDOR.png,自身の与ダメージが5%増加し~~バトル開始時にMPが8増加する,自身の与ダメージが&color(red){7%}増加し~~バトル開始時にMPが&color(red){10}増加する,559,214,242,1352,516,585,1676,640,726,,
4,ふわふわわたあめ,足跡,限定,2021/07/08,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/z7OkChpRU2.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/kvCgcAhS4i.png,「Beat!!!」の与ダメージが7%増加し~~少しだけ狙われにくくなる,「Beat!!!」の与ダメージが&color(red){10%}増加し~~少しだけ狙われにくくなる,436,242,254,1055,585,614,1308,725,762,,
4,なつまつり,足跡,限定,2021/08/01,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/RHEUuWnamM.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/BZ653g6XRI.png,マイペース(水)属性の相手に対して~~与ダメージが7%増加し、被ダメージが4%減少する,マイペース(水)属性の相手に対して~~与ダメージが&color(red){9%}増加し、被ダメージが&color(red){6%}減少する,561,238,190,1357,574,459,1682,712,569,,
3,ひなたでぬくぬく,青,限定~~イベ報酬,2021/08/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/kwiPXi4V3w.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fs9C0bFCQl.png,たいりょくが70%以下のときたいりょくが7%回復し~~たいりょくが30%以下のときMPが4増加する~~(発動回数：1回),たいりょくが70%以下のときたいりょくが&color(red){10%}回復し~~たいりょくが30%以下のときMPが&color(red){5}増加する~~(発動回数：1回),315,233,126,730,501,317,943,639,416,,
4,タマちゃんスマイル！,青,限定,2021/08/06,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/tHoMpbhkrT.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UAYLf6_qEm.png,たいりょくが50%以上のとき~~ファニー（赤）属性の相手に対して~~与ダメージと攻撃命中率が8%増加する,たいりょくが&color(red){30%}以上のとき~~ファニー（赤）属性の相手に対して~~与ダメージと攻撃命中率が&color(red){10%}増加する,584,176,280,1412,425,676,1751,528,838,,
3,おひるのサイレン,青,配布,2021/08/20,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KURHjG3XdZ.PNG,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/eWQCK5ouXG.PNG,たいりょくが30%以下のとき~~与ダメージと攻撃命中率が5%増加する,たいりょくが&color(red){50%}以下のとき~~与ダメージと攻撃命中率が5%増加する,252,168,118,583,388,272,754,502,352,,
4,くものうえのけしき,足跡,限定,2021/08/20,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/pRU8taJIK7.PNG,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Jn4Wpu0q8p.PNG,与ダメージが5%増加し~~たいりょくが50%以下のとき~~追加で「Beat!!!」の与ダメージが10%増加する,与ダメージが&color(red){7%}増加し~~たいりょくが50%以下のとき~~追加で「Beat!!!」の与ダメージが&color(red){12%}増加する,667,181,221,1612,436,534,1999,541,663,,
4,ほっぷ、すてっぷ,青,限定,2021/08/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/HjIdA33H1p.PNG,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/yF4js91ofu.PNG,たいりょくが50%以上のとき~~自身の与ダメージが5%増加し~~相手全体のかいひを5%減少させる,たいりょくが&color(red){30%}以上のとき~~自身の与ダメージが5%増加し~~相手全体のかいひを5%減少させる,594,194,239,1437,469,577,1782,582,715,,
3,踊り合いっこ,足跡,限定~~イベ報酬,2021/08/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/sERrCMXeEu-s.PNG,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/MeeemB2llc.PNG,「Beat!!!」の与ダメージが5%増加し~~たいりょくが50%以下のとき~~被ダメージが4%減少する,「Beat!!!」の与ダメージが&color(red){7%}増加し~~たいりょくが&color(red){60%}以下のとき~~被ダメージが&color(red){6%}減少する,474,131,186,1099,303,431,1420,392,558,,
4,ゆらゆらゆれて,足跡,限定,2021/09/06,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/eXUPq2VDeo.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/b51kueA2Ik.png,ぼんやりうっかり耐性(中)が増加し、~~&color(#0075c8){たいりょくが40%以上のとき}~~与ダメージと攻撃命中率が5%増加する,ぼんやりうっかり耐性(中)が増加し、~~与ダメージと攻撃命中率が5%増加する,651,168,251,1574,405,606,1952,502,752,,
3,やるときはやるよ,青,限定~~イベ報酬,2021/09/17,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Sc4gY4J9Ut.PNG,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/PuhImL84kE.PNG,&color(#0075c8){たいりょくが30%以上のとき}~~ファニー(赤)属性の相手に対して~~与ダメージが7%増加する,ファニー(赤)属性の相手に対して~~与ダメージが7%増加する,457,186,109,1060,431,251,1370,558,325,,
4,ワンツーステップ,足跡,限定,2021/09/17,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/aomnQAHqTC.PNG,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/I9qN_RwupK.PNG,しょんぼりきぶん耐性（小）が増加する~~さらに攻撃命中率が5%増加し、かいひが3%増加する,しょんぼりきぶん耐性&color(red){（中）}が増加する~~さらに攻撃命中率が&color(red){7%}増加し、かいひが&color(red){4%}増加する,560,275,144,1353,665,348,1678,825,432,,
