ID,フレンズ名,属性違い二つ名,HC,ページURL,属性,サブ属性,実装日,実装種別,実装種別詳細,一覧順,アイコンURL,初期けも級,野生大解放,12ポケ,特別衣装数,CV,かいひ,かいひ野生5,ぷらずむ,Beatフラッグ,Actionフラッグ,Tryフラッグ,Beat補正,Action補正,Try補正,Beat補正野生5,Action補正野生5,Try補正野生5,Lv最大けもステ,Lv最大たいりょく,Lv最大こうげき,Lv最大まもり,Lv90けもステ,Lv90たいりょく,Lv90こうげき,Lv90まもり,Lv99けもステ,Lv99たいりょく,Lv99こうげき,Lv99まもり,Lv90野生5けもステ,Lv90野生5たいりょく,Lv90野生5こうげき,Lv90野生5まもり,Lv99野生5けもステ,Lv99野生5たいりょく,Lv99野生5こうげき,Lv99野生5まもり,☆1Lv1たいりょく,☆1Lv1こうげき,☆1Lv1まもり,☆1Lv90たいりょく,☆1Lv90こうげき,☆1Lv90まもり,☆1Lv99たいりょく,☆1Lv99こうげき,☆1Lv99まもり,☆1野生解放1たいりょく,☆1野生解放1こうげき,☆1野生解放1まもり,☆1野生解放2たいりょく,☆1野生解放2こうげき,☆1野生解放2まもり,☆1野生解放3たいりょく,☆1野生解放3こうげき,☆1野生解放3まもり,☆1野生解放4たいりょく,☆1野生解放4こうげき,☆1野生解放4まもり,☆1野生解放5たいりょく,☆1野生解放5こうげき,☆1野生解放5まもり,☆1野生解放1-4合計たいりょく,☆1野生解放1-4合計こうげき,☆1野生解放1-4合計まもり,☆1野生解放1-5合計たいりょく,☆1野生解放1-5合計こうげき,☆1野生解放1-5合計まもり,Lv100+上昇パターン,けものミラクル技名,けものミラクル効果Lv1,けものミラクル効果Lv5,けものミラクル必要MP,けものミラクル＋,とくいわざ技名,とくいわざ効果,たいきスキル技名,たいきスキル効果,たいきスキル発動率,たいきスキル発動回数,とくせい技名,とくせい効果,キセキとくせい技名,キセキとくせい効果,なないろとくせい技名,なないろとくせい効果,自己紹介テキスト,ずかんテキスト,動物フォト属性,動物フォトとくせい効果変化前,動物フォトとくせい効果変化後
タチコマ type-S,タチコマ type-S,,,,リラックス,,Sun Sep 19 2021 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,199,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/geQUfxc40r.png,4,,,0,,0.04,,40,1,"15,25","30,30",0.05,0.06,0.05,,,,45642,18463,7467,4235,53157,21508,8698,4928,56182,22731,9193,5209,,,,,,,,,2375,961,563,11875,4801,2720,12987,5251,2975,1361,551,312,1749,708,401,2235,904,512,2332,943,535,,,,7677,3106,1760,,,,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
タチコマ type-H,タチコマ type-H,,,,ラブリー,,Sun Sep 19 2021 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,200,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ozPnKB6ezu.png,4,,,0,,0.01,,50,2,"20,30",30,0.06,0.05,0.05,,,,45577,17066,7890,4127,53085,19882,9191,4803,56104,21013,9713,5077,,,,,,,,,2196,1015,549,10977,5073,2651,12005,5548,2900,1258,582,304,1617,748,391,2066,955,499,2156,997,521,,,,7097,3282,1715,,,,,,,,,,,,,,,,,,,,,,,,,,
パラケラテリウム,パラケラテリウム,,,,アクティブ,,Wed Sep 22 2021 00:00:00 GMT+0900 (日本標準時),限定,掃除,201,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/nHTfTDhcCQ.png,4,〇,,3,,0.01,0.012,10,1,"20,30","20,20",0.05,0.06,0.05,0.06,0.07,0.06,45171,18328,7022,4721,52609,21351,8180,5494,55600,22566,8645,5806,,,,,,,,,2358,903,628,11788,4515,3032,12892,4938,3316,1351,518,348,1737,666,447,2219,850,571,2315,887,596,,,,7622,2921,1962,9648,3697,2484,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
フォークランドカラカラ,フォークランドカラカラ,,,,フレンドリー,,Thu Sep 30 2021 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,202,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/sagm__PCGa.png,4,〇,,0,,0.01,0.012,30,2,"20,20",20,0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,44422,17206,7267,4428,51737,20045,8465,5153,54683,21185,8947,5447,,,,,60081,23278,9830,5984,2214,935,589,11067,4672,2844,12104,5110,3111,1268,536,326,1630,689,419,2083,880,536,2174,918,559,1902,803,489,7155,3023,1840,9057,3826,2329,こうげき+40型,,,,,,,,,,,,,,,,秘蔵の『ブツ』,自身のどく耐性(高)が増加する~~さらに自身のたいりょくが50%以上のとき~~自身の与ダメージが20%増加し~~攻撃命中率が15%増加する,,,,,
コンゴウインコ,コンゴウインコ,,,,ファニー,,Thu Oct 07 2021 00:00:00 GMT+0900 (日本標準時),限定,測定,203,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/qHX6k6CICD.png,4,〇,,0,,0.01,0.012,20,2,20,"30,40",0.05,0.05,0.06,0.06,0.06,0.07,44619,18743,6912,4444,51911,21835,8051,5145,54868,23077,8510,5438,,,,,,,,,2412,889,682,12056,4444,2839,13185,4861,3105,1381,510,326,1776,655,419,2269,837,535,2368,873,558,,,,7794,2875,1838,9866,3639,2326,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
ウミネコ,ウミネコ,,,,ラブリー,,Thu Oct 14 2021 00:00:00 GMT+0900 (日本標準時),恒常,s2-3章,204,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/3uz136QSMZ.png,4,〇,,4,,0.01,0.012,20,1,25,"20,20,30",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,44570,18587,6984,4374,51910,21652,8136,5090,54867,22884,8599,5381,,,,,60284,25144,9448,5912,2391,899,582,11954,4491,2810,13074,4912,3074,1370,515,322,1761,662,414,2250,846,529,2348,882,552,2055,772,483,7729,2905,1817,9784,3677,2300,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
ケルベロス,ケルベロス,,,,リラックス,,Mon Oct 18 2021 00:00:00 GMT+0900 (日本標準時),限定,－,205,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/EmAX21PhH8.PNG,4,,,0,,0.01,,20,2,"15,20",30,0.06,0.05,0.05,,,,45180,16963,7879,3986,52633,19760,9179,4644,55627,20884,9701,4908,,,,,,,,,2182,1013,513,10908,5065,2562,11930,5540,2802,1250,581,294,1608,747,378,2054,955,483,2143,996,504,,,,7055,3279,1659,,,,こうげき+65型,,,,,,,,,,,,,,,,,,,,,,
クズリ,クズリ,,,,アクティブ,,Thu Oct 21 2021 00:00:00 GMT+0900 (日本標準時),限定,共闘,206,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/7Qh3sdSz8J.png,4,〇,,0,,0.01,0.012,50,2,"15,25",30,0.05,0.06,0.05,0.06,0.07,0.06,44716,17696,7747,3659,52091,20614,9025,4262,55057,21787,9539,4505,,,,,,,,,2277,997,471,11381,4982,2352,12447,5449,2573,1304,571,270,1677,734,347,2142,938,443,2236,979,462,1956,856,405,7359,3222,1522,9315,4078,1927,,,,,,,,,,,,,,,,,,,,,,,
トド,トド,,,,マイペース,,Thu Oct 21 2021 00:00:00 GMT+0900 (日本標準時),限定,共闘,207,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Bv7CTf5ZqF.png,4,〇,,0,,0.01,0.012,40,2,"20,20",30,0.05,0.06,0.05,0.06,0.07,0.06,44686,18431,7513,3701,52055,21471,8752,4311,55019,22693,9250,4557,,,,,,,,,2372,967,476,11856,4831,2379,12967,5284,2602,1358,554,273,1746,712,351,2231,910,448,2328,949,468,,,,7663,3125,1540,9700,3956,1949,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
テングコウモリ,テングコウモリ,,,,ラブリー,,Thu Oct 28 2021 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,208,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/9mL43IcJUm.png,4,〇,,0,,0.04,0.042,20,1,"20,20","20,30",0.05,0.06,0.05,0.06,0.07,0.06,44724,18364,7094,4375,52088,21392,8264,5091,55051,22609,8733,5382,,,,,,,,,2362,912,582,11809,4560,2811,12915,4987,3075,1354,523,322,1740,673,414,2224,859,529,2320,897,552,,,,7638,2952,1817,9668,3737,2300,こうげき+65型,,,,,,,,,,,,,,,,,,,,,,
シロヘラコウモリ,シロヘラコウモリ,,,,リラックス,,Thu Nov 04 2021 00:00:00 GMT+0900 (日本標準時),限定,測定,209,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Kcr2h1LuMk.png,4,〇,,1,,0.04,0.042,10,2,"20,25",30,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,44765,18362,6935,4635,52082,21391,8079,5366,55048,22608,8539,5672,,,,,,,,,2362,892,711,11810,4460,2961,12916,4878,3239,1353,511,340,1740,657,437,2223,840,558,2320,876,582,2030,767,510,7636,2884,1917,9666,3651,2427,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
ロバ,ロバ,,,,フレンドリー,,Mon Nov 15 2021 00:00:00 GMT+0900 (日本標準時),恒常,S2-4章,210,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/7n0lf2POBi.png,4,〇,,4,,0.01,0.012,20,2,20,"30,40",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,44657,18753,6722,4744,51956,21846,7831,5493,54913,23089,8277,5805,,,,,,,,,2413,865,728,12062,4323,3031,13192,4728,3315,1382,496,348,1777,637,447,2270,814,571,2369,849,596,2073,743,522,7798,2796,1962,9871,3539,2484,まもり+50型,,,,,,,,,,,,,,,,笑顔を届けるパン屋さん,自身の被ダメージが10%減少し~~毎ターン自身のたいりょくが5%回復する~~さらに味方全体の被ダメージが5%減少する,,,,,
セイリュウ,セイリュウ,,,,マイペース,,Thu Nov 18 2021 00:00:00 GMT+0900 (日本標準時),限定,四神,211,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/F0OH8YP7eS.png,4,〇,〇,0,,0.01,0.012,50,2,"20,20",40,0.05,0.06,0.05,0.06,0.07,0.06,46774,17951,7773,4547,54479,20911,9056,5291,57583,22101,9572,5593,,,,,63265,24283,10516,6145,2309,1000,605,11545,4999,2920,12626,5468,3194,1323,573,335,1701,737,431,2173,941,550,2268,982,574,,,,7465,3233,1890,9449,4092,2392,こうげき+50型,,,,,,,,,,,,,,,,静かに流れる水の如し,自身がギブアップ状態でないとき~~自身を除く味方全体の与ダメージが4%増加し~~被ダメージが4%減少し、毎ターンたいりよくが4%回復する,,,,,
ウンピョウ,ウンピョウ,,,,ファニー,,Mon Nov 22 2021 00:00:00 GMT+0900 (日本標準時),限定,掃除,212,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/3_o69YUBpC.png,4,〇,,0,,0.06,0.062,40,2,20,"20,30",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,44586,18010,7772,3431,51944,20981,9055,3997,54895,22174,9569,4224,,,,,,,,,2317,1000,441,11584,4998,2205,12669,5466,2412,1327,573,253,1707,737,325,2180,941,416,2275,982,434,1991,859,380,7489,3233,1428,9480,4092,1808,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
ダイアウルフ,ダイアウルフ,,,,アクティブ,,Mon Nov 22 2021 00:00:00 GMT+0900 (日本標準時),限定,掃除,213,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/uEvtpNuhgC.png,4,〇,,1,,0.04,0.042,40,2,"20,20",30,0.06,0.05,0.05,0.07,0.06,0.06,45085,16980,7849,3977,52523,19781,9144,4633,55511,20906,9664,4897,,,,,,,,,2185,1010,512,10921,5047,2556,11944,5520,2796,1251,579,293,1609,744,377,2056,950,482,2145,992,503,,,,7061,3265,1655,8938,4133,2095,こうげき+50型,,,,,,,,,,,,,,,,遥か遠くから響く遠吠え,アクティブ(黄緑)属性の味方の~~ぼんやりうっかり状態の相手に与えるダメージが15%増加し~~ぼんやりうっかり状態の相手から受けるダメージが13%減少する,,,,,
ホッキョクオオカミ,ホッキョクオオカミ,,,,マイペース,,Tue Nov 30 2021 00:00:00 GMT+0900 (日本標準時),限定,マップ,214,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/VO6ZZQrDP2.png,4,〇,,1,,0.01,0.012,40,2,"20,20",30,0.06,0.05,0.05,0.07,0.06,0.06,44902,18510,7550,3722,52301,21564,8795,4332,55275,22790,9295,4579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,こうげき+40型,,,,,,,,,,,,,,,,アプーといっしょに楽しい散歩,地形が寒冷地の場合~~自身の与ダメージが10%増加し~~被ダメージが15%減少する~~さらに毎ターンマイペース(水)属性の味方のたいりょくが3％回復する,,,,,
ニホンザル,ニホンザル,,,,フレンドリー,,Mon Dec 06 2021 00:00:00 GMT+0900 (日本標準時),限定,マップ,215,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/03dd43qtBQ.png,4,〇,,1,,0.01,0.012,30,1,20,"20,30,30",0.05,0.05,0.06,0.06,0.06,0.07,44543,18169,7429,3860,51887,21166,8654,4496,,,,,,,,,,,,,2338,956,497,11686,4776,2481,,,,,,,,,,,,,,,,,,,7555,3091,1606,9563,3912,2033,たいりょく+50型,,,,,,,,,,,,,,,,いざ！秘湯探し,フレンドリー(緑)属性の味方の被ダメージが10％減少し~~毎ターンたいりょくが3%回復する~~さらに自身のたいりょくが60%以上のとき~~フレンドリー(緑)属性の味方の与ダメージが10%増加する,,,,,
ホッキョクギツネ,ホッキョクギツネ,,,,ラブリー,,Fri Dec 10 2021 00:00:00 GMT+0900 (日本標準時),限定,測定,216,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/cHe4yBnAEu.png,4,〇,,2,,0.01,0.012,40,1,"20,25,30",30,0.05,0.06,0.05,0.06,0.07,0.06,44905,16769,7679,4226,52312,19534,8946,4923,55287,20645,9455,5203,,,,,,,,,2157,988,544,10785,4938,2716,11795,5401,2971,1236,566,312,1589,728,401,2030,930,512,2118,970,534,,,,6973,3194,1759,8827,4043,2226,こうげき+40型,,,,,,,,,,,,,,,,つめたい吹雪を待ちこがれて,ラブリー(桃)属性の味方のすやすや耐性(高)が増加する~~さらに自身がひやひや状態のとき、ラブリー(桃)属性の味方の~~与ダメージが15%増加し、被ダメージが10%減少する,,,,,
ブラッザグエノン,ブラッザグエノン,,,,アクティブ,,Thu Dec 16 2021 00:00:00 GMT+0900 (日本標準時),恒常,S2-4章後,217,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/20cjeoHAUN.png,4,〇,,3,,0.01,0.012,30,2,25,"30,30",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,45016,17467,7376,4457,52430,20348,8593,5186,55412,21505,9082,5481,,,,,,,,,2247,949,593,11234,4743,2862,12286,5188,3130,1287,544,328,1655,699,422,2115,893,539,2207,932,563,1931,816,492,7264,3068,1852,9195,3884,2344,こうげき+40型,,,,,,,,,,,,,,,,まったりしてるだけじゃないかも,自身を除くアクティブ(黄緑)属性の味方の~~状態異常の相手に与えるダメージが10％増加する,,,,,
ゴシンギュウサマ,ゴシンギュウサマ,,,,ファニー,,Mon Dec 20 2021 00:00:00 GMT+0900 (日本標準時),限定,－,218,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/7gHbCgWimz.png,4,,,0,,0.01,,10,2,10,"40,40",0.05,0.05,0.06,,,,45584,19701,6561,5070,53031,22950,7643,5871,56053,24255,8079,6206,,,,,,,,,2534,844,778,12670,4219,3240,13857,4615,3544,,,,,,,,,,,,,,,,8193,2729,2097,,,,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
チベットスナギツネ(青),チベットスナギツネ,ブームの予感ですよ？,〇,,リラックス,,Fri Dec 24 2021 00:00:00 GMT+0900 (日本標準時),限定,掃除,219,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/BEp5yOAxAB.png,4,,,2,,0.03,,10,1,"25,30","20,30",0.05,0.06,0.05,,,,44868,19105,6956,4358,52259,22256,8104,5071,55235,23522,8565,5361,,,,,,,,,2458,895,580,12288,4473,2799,13439,4892,3062,1408,513,321,1810,659,413,2313,843,527,2413,879,550,,,,7944,2894,1811,,,,,,,,,,,,,,,,,,,,,,,,,,
マヌルネコ(桃),マヌルネコ,ニャギっとスタイリッシュ,〇,,ラブリー,,Fri Dec 24 2021 00:00:00 GMT+0900 (日本標準時),限定,掃除,220,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/gfff7cfWlx.png,4,,,2,,0.01,,20,2,"20,20",30,0.05,0.06,0.05,,,,44948,18519,7612,3648,52364,21574,8868,4250,55341,22801,9372,4492,,,,,,,,,2383,979,469,11911,4895,2345,13027,5354,2565,1365,561,269,1755,721,346,2242,922,442,2339,962,461,,,,7701,3166,1518,,,,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
トラ,トラ,,,,ファニー,,Sat Jan 01 2022 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,221,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bie6aZfUo8.png,4,〇,,1,,0.01,0.012,50,2,"20,25",20,0.06,0.05,0.05,0.07,0.06,0.06,45152,16594,7876,4124,52601,19331,9176,4804,55595,20431,9698,5078,,,,,,,,,2135,1013,531,10673,5065,2651,11673,5540,2900,1223,581,304,1572,746,391,2009,954,500,2096,995,521,1834,871,456,6900,3276,1716,8734,4147,2172,こうげき+50型,,,,,,,,,,,,,,,,素直になれるように,自身の与ダメージが10%増加し~~被ダメージが10%減少する~~さらに自身のたいりょくが30%以下のとき~~自身の攻撃命中率が15%増加する,,,,,
コアラ,コアラ,,,,マイペース,,Fri Jan 07 2022 00:00:00 GMT+0900 (日本標準時),限定,測定,222,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/PigTrYEnQM.png,4,〇,,0,,0.01,0.012,20,1,"20,20","30,30",0.05,0.05,0.06,0.06,0.06,0.07,44833,18562,6879,4673,52162,21624,8014,5410,55130,22854,8470,5718,,,,,,,,,2388,885,717,11939,4424,2986,13057,4839,3266,1368,507,343,1759,652,440,2247,833,562,2345,869,587,,,,7719,2861,1932,9771,3622,2446,たいりょく+50型,,,,,,,,,,,,,,,,お手製パップまん,マイペース(水)属性の味方の与ダメージが10%増加し~~被ダメージが10%減少する~~さらに自身の体力が50%以上のとき~~マイペース属性(水)の味方の与ダメージが10%増加する,,,,,
マカミ,マカミ,,,,フレンドリー,,Sat Jan 15 2022 00:00:00 GMT+0900 (日本標準時),限定,－,223,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/W91PY297Li.png,4,,,0,,0.01,,50,2,"20,30",20,0.06,0.05,0.05,,,,45512,17316,7853,4050,53016,20172,9148,4717,56032,21320,9668,4986,,,,,,,,,2228,1010,521,11137,5050,2603,12180,5523,2847,1276,579,299,1641,744,384,2096,951,490,2188,992,512,,,,7201,3266,1685,,,,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
オオカワウソ,オオカワウソ,,,,リラックス,,Fri Jan 21 2022 00:00:00 GMT+0900 (日本標準時),限定,共闘,224,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/iBi3l8olxJ.png,4,〇,,2,,0.01,0.012,30,2,"20,20",30,0.06,0.05,0.05,0.07,0.06,0.06,44842,17422,7394,4361,52225,20295,8613,5075,55200,21450,9104,5364,,,,,,,,,2241,951,580,11205,4755,2800,12255,5201,3063,1284,545,321,1651,701,413,2109,895,528,2201,934,551,1926,818,482,7245,3075,1813,9171,3893,2295,,,,,,,,,,,,,,,,,,,,,,,
ソンゴクウ,ソンゴクウ,,,,アクティブ,,Tue Jan 25 2022 00:00:00 GMT+0900 (日本標準時),限定,－,225,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/pPKZ55qGDE.png,4,,,0,,0.04,,50,1,"15,20,25",30,0.05,0.06,0.05,,,,45253,16680,7861,4163,52719,19431,9158,4850,55718,20536,9679,5126,,,,,,,,,2146,1011,536,10728,5055,2677,11733,5529,2928,1229,580,307,1581,745,395,2019,952,504,2107,993,526,,,,6936,3270,1732,,,,こうげき+40型,,,,,,,,,,,,,,,,,,,,,,
フクロネコ,フクロネコ,,,,フレンドリー,,Fri Jan 28 2022 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,226,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bJ1PIfWq1n.png,4,〇,,0,,0.04,0.042,30,2,20,"30,30",0.06,0.05,0.05,0.07,0.06,0.06,45117,18377,7381,4136,52550,21408,8599,4813,55541,22625,9089,5087,,,,,,,,,2364,950,550,11819,4746,2656,12926,5191,2905,1354,544,305,1741,700,392,2225,894,500,2322,933,522,2031,816,457,7642,3071,1719,9673,3887,2176,,,,,,,,,,,,,,,,,牧場好きのいたずらっこ,自身の与ダメージが15%増加する~~さらにフレンドリー(緑)属性の味方が~~ちぐはぐリズム状態の相手に与えるダメージが10%増加する,,,,,
シマハイイロギツネ,シマハイイロギツネ,,,,ラブリー,,Fri Feb 04 2022 00:00:00 GMT+0900 (日本標準時),限定,測定,227,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/alrX1f5CTZ.jpg,4,〇,,2,,0.04,0.042,10,1,"20,25","30,40",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,44935,18438,7232,4244,52332,21479,8424,4938,55313,22701,8904,5220,57797,23721,9304,5454,,,,,2372,930,564,11859,4650,2725,12970,5086,2981,1359,533,313,1747,685,402,2232,876,513,2329,914,536,,,,7667,3008,1764,9705,3808,2233,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
カコミスル,カコミスル,,,,ファニー,,Fri Feb 11 2022 00:00:00 GMT+0900 (日本標準時),限定,s2-5章,228,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ITJjT6djMI.jpg,4,〇,,1,,0.05,0.052,50,2,25,"20,30",0.06,0.05,0.05,0.07,0.06,0.06,45159,16580,7877,4132,52611,19315,9177,4814,55605,20414,9699,5088,,,,,,,,,2133,1013,532,10664,5065,2656,11663,5540,2905,1222,581,305,1571,747,392,2007,954,501,2095,995,522,,,,6895,3277,1720,8728,4148,2177,こうげき+40型,,,,,,,,,,,,,,,,,,,,,,
でびるさま,でびるさま,,,,マイペース,,Fri Feb 18 2022 00:00:00 GMT+0900 (日本標準時),限定,シナリオ,229,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/WLftdWruwG.png,4,,,0,,0.01,,50,2,15,"30,40",0.06,0.05,0.05,,,,46040,17272,8000,4111,53636,20122,9320,4789,56688,21267,9850,5062,,,,,,,,,2222,1029,529,11109,5144,2642,12150,5626,2890,,,,,,,,,,,,,,,,7183,3328,1711,,,,こうげき+40型,,,,,,,,,,,,,,,,,,,,,,
タスマニアデビル(青),タスマニアデビル,こっわーい悪魔だぞぉ！,〇,,リラックス,,Mon Feb 21 2022 00:00:00 GMT+0900 (日本標準時),限定,掃除,230,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/pRwke7Dtxo.png,4,,,5,,0.01,,20,1,"20,30","20,30",0.05,0.05,0.06,,,,45234,18518,7015,4687,52678,21571,8171,5454,55679,22799,8637,5764,,,,,,,,,2382,903,623,11909,4511,3010,13025,4934,3292,,,,,,,,,,,,,,,,7701,2917,1948,,,,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
オーストラリアデビル(桃),オーストラリアデビル,隻眼の悪魔†,〇,,ラブリー,,Mon Feb 21 2022 00:00:00 GMT+0900 (日本標準時),限定,掃除,231,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/xgdusVWP4S.png,4,,,5,,0.01,,30,2,"15,20",40,0.05,0.06,0.05,,,,45287,17889,7185,4710,52688,20840,8370,5453,55688,22026,8847,5763,,,,,,,,,2302,924,723,11506,4620,3009,12584,5053,3291,1318,530,345,1695,681,444,2166,870,567,2260,908,592,,,,7439,2989,1948,,,,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
オオサイチョウ,オオサイチョウ,,,,マイペース,,Mon Feb 28 2022 00:00:00 GMT+0900 (日本標準時),限定,マップ,232,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/lFmA8Dbn0W.jpg,4,〇,,0,,0.01,0.012,10,1,"20,20","30,40",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,45116,18615,6912,4744,52488,21686,8051,5493,55476,22919,8510,5805,,,,,,,,,2395,889,728,11972,4444,3031,13093,4861,3315,1372,510,348,1764,655,447,2254,837,571,2352,873,596,2058,764,521,7742,2875,1962,9800,3639,2483,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
ツノサイチョウ,ツノサイチョウ,,,,ファニー,,Mon Mar 07 2022 00:00:00 GMT+0900 (日本標準時),限定,マップ,233,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/LWfPkES7Sr.jpg,4,〇,,0,,0.01,0.012,10,1,"20,25","20,30",0.05,0.06,0.05,0.06,0.07,0.06,45103,18269,7051,4667,52525,21282,8213,5430,55516,22493,8681,5739,,,,,,,,,2350,907,620,11749,4532,2996,12850,4957,3277,1347,520,344,1731,669,442,2212,854,565,2308,891,589,,,,7598,2934,1940,9618,3714,2456,,,,,,,,,,,,,,,,,,,,,,,
オランウータン,オランウータン,,,,リラックス,,Thu Mar 10 2022 00:00:00 GMT+0900 (日本標準時),限定,測定,234,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/IUOl6lOwRj.jpg,4,〇,,0,,0.01,0.012,20,3,25,30,0.06,0.05,0.05,0.07,0.06,0.06,44826,19506,6921,4229,52209,22723,8062,4922,55180,24016,8521,5202,,,,,,,,,2510,890,562,12546,4450,2716,13721,4867,2971,1438,510,312,1848,656,400,2361,838,512,2464,875,534,2156,765,467,8111,2879,1758,10267,3644,2225,,,,,,,,,,,,,,,,,,,,,,,
ライジュウ,ライジュウ,,,,フレンドリー,,Tue Mar 15 2022 00:00:00 GMT+0900 (日本標準時),限定,－,235,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/IG0Ks6UGT8.jpg,4,〇,,0,,0.01,0.012,50,2,"25,25",30,0.06,0.05,0.05,0.07,0.06,0.06,45532,17975,7854,3795,53033,20940,9149,4417,56050,22131,9669,4669,,,,,,,,,2313,1011,505,11561,5051,2437,12644,5524,2666,1325,579,280,1703,744,360,2176,951,459,2271,992,479,,,,7475,3266,1578,9462,4134,1997,こうげき+50型,,,,,,,,,,,,,,,,,,,,,,
コヨーテ,コヨーテ,,,,アクティブ,,Thu Mar 24 2022 00:00:00 GMT+0900 (日本標準時),限定,四神,236,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Hi2kMKomzy.jpg,4,〇,,0,,0.04,0.042,10,1,"15,25","30,30",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,45174,18729,7010,4580,52616,21818,8167,5330,55612,23059,8632,5634,,,,,,,,,2410,902,609,12046,4508,2942,13174,4931,3218,1380,517,337,1775,664,434,2267,849,554,2366,886,578,2070,775,506,7788,2916,1903,9176,4105,2032,たいりょく+50型,,,,,,,,,,,,,,,,,,,,,,
